STATE_UT,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
35,42112,29386,12666,41574,0,41574,51998,43546,8452,5284,21614,14708,11000,380936,76128,304808,102308,17838,61662,3842,4728,188304,10344,45742,3108,261336,228,75502,852388,2238608
1,320,130,42,218,0,218,188,154,34,30,0,148,1784,2248,170,2078,280,144,506,22,196,2210,12,428,86,242,0,84,8886,18204
2,63512,44840,3526,26958,4,26954,42478,29872,12606,3974,160,15210,194672,574380,145288,429092,54918,24256,197686,6214,23936,1093130,12430,103998,72262,238014,34,276870,964504,4037962
33,130886,121040,34532,38116,4,38112,118532,95180,23352,9618,1876,61534,131174,624094,292502,331592,108220,76704,167920,6448,9108,279500,47648,59396,53022,155234,6,227642,1253898,3716148
12,27550,12224,860,8498,0,8498,30492,25836,4656,7684,366,28766,121378,426414,194018,232396,44384,33178,34132,5164,11294,270436,1004,17996,2730,118862,0,108770,1459368,2771550
21,65534,41178,2818,35972,4,35968,30202,21706,8496,16350,7314,75438,371234,1113614,336464,777150,180488,41532,159804,7612,29030,707520,8498,78438,24220,160726,4,269226,1120120,4546872
24,806,516,134,1652,2,1650,192,20,172,90,0,228,9496,19606,928,18678,96,562,1486,242,534,2432,8,1632,12,108,6,630,11824,52292
29,31682,42681,1778,31596,0,31596,61453,49342,12111,1125,1562,18137,130534,465562,210691,254871,72144,19348,281597,1452,16624,534706,10129,61705,708,200202,12,156699,1569779,3711215
18,9466,10654,3794,14894,0,14894,5782,3796,1986,2728,3558,16658,92742,124706,42932,81774,192548,8542,87516,2186,11160,464902,602,62980,6608,92148,0,978,1659766,2874918
20,56798,58916,3668,72174,2,72172,23916,18486,5430,3310,3082,44628,274692,527720,200224,327496,62248,13066,36990,848,20708,825154,18072,159756,18634,79938,120,129938,2393164,4827540
34,5896,5254,1028,2756,0,2756,5704,4668,1036,714,72,3980,11156,40070,14784,25286,10404,3518,11220,526,628,21220,1812,3090,3038,8284,2,13360,52676,206408
13,20927,14852,1711,12799,2,12797,17237,12219,5018,2750,4840,11721,92646,262188,166771,95417,25311,16655,31051,743,3807,102399,6255,10623,16362,54065,0,30393,448929,1188264
28,18986,20794,3116,10918,2,10916,15238,10770,4468,920,2672,3656,55242,101006,42508,58498,68,7192,75872,1486,1814,113840,3092,8094,1524,23996,4,66678,232054,768262
15,12608,20606,694,5620,0,5620,19330,17640,1690,376,0,2624,34100,51534,16074,35460,32414,2977,10897,636,6332,7766,270,23018,7986,3600,0,9048,265842,518278
