STATE_UT,DISTRICT,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
35,1,2329,1262,1004,1883,0,1883,3311,2390,921,248,1629,739,387,21986,5951,16035,5484,1290,2168,129,140,1879,683,1919,47,17446,8,180,56644,122795
35,2,2114,201,536,2221,0,2221,2209,2120,89,194,1442,392,556,18426,3731,14695,8893,169,1389,41,129,1864,642,1438,19,18672,3,401,58961,120912
1,3,15,19,1,3,0,3,12,9,3,5,0,9,90,112,8,104,17,7,23,1,11,99,1,21,2,18,0,4,337,807
2,4,1186,869,151,672,0,672,754,570,184,72,0,237,2519,3964,755,3209,1016,254,1932,33,395,16392,188,1785,1242,4126,0,3593,20579,61959
33,5,1609,1816,449,493,0,493,2541,1936,605,201,18,1220,3063,20725,14313,6412,3279,1672,3323,260,121,5381,832,1278,955,4003,0,4605,20143,77987
12,6,1204,778,101,506,0,506,2301,1669,632,471,33,5292,9392,57655,30159,27496,2434,2878,3173,146,79,16439,83,820,225,11670,0,2084,100241,218005
12,7,414,191,21,85,0,85,466,430,36,137,5,349,1318,3592,1089,2503,687,621,164,48,186,4117,12,253,1,1217,0,3543,20272,37699
21,8,1210,815,28,653,0,653,514,354,160,477,119,1543,5248,14405,4476,9929,4742,489,2023,82,505,8397,91,1278,28,5571,0,6858,16686,71762
12,9,78,13,0,29,0,29,6,5,1,5,0,9,51,104,22,82,51,23,18,8,18,259,1,29,1,71,0,225,1238,2237
24,10,141,127,35,345,0,345,38,1,37,8,0,52,2316,5201,321,4880,16,144,453,74,109,445,0,362,2,36,0,180,2602,12686
