STATE_UT,DISTRICT,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
"ANDHRA PRADESH",ADILABAD,1186,869,151,672,0,672,754,570,184,72,0,237,2519,3964,755,3209,1016,254,1932,33,395,16392,188,1785,1242,4126,0,3593,20579,61959
"ANDHRA PRADESH",ANANTAPUR,1922,1248,51,266,0,266,839,554,285,137,1,244,2536,6079,1736,4343,1293,240,1445,114,444,17682,174,2026,622,1645,0,5058,15861,59927
"ANDHRA PRADESH",CHITTOOR,1270,739,32,368,0,368,907,531,376,96,0,207,2777,11077,2820,8257,973,350,2694,171,419,13543,262,1381,2179,3283,0,8168,24575,75471
"ANDHRA PRADESH",CUDDAPAH,1196,506,38,298,0,298,653,522,131,39,0,106,1549,4530,1283,3247,1326,336,1894,48,337,14301,146,1708,538,1790,0,4815,21993,58147
"ANDHRA PRADESH","EAST GODAVARI",1041,1211,45,499,0,499,780,378,402,30,0,245,5069,13533,3064,10469,768,1076,3273,225,479,31514,206,1920,1584,4927,0,6655,18113,93193
"ANDHRA PRADESH","GUNTAKAL RLY.",75,3,0,3,0,3,10,6,4,15,0,31,0,2091,0,2091,4,4,19,66,2,75,5,19,13,11,0,32,754,3232
"ANDHRA PRADESH",GUNTUR,1775,1326,18,526,0,526,969,705,264,91,9,347,3509,13165,2582,10583,1204,598,4238,214,692,22209,234,2881,2252,5792,0,6110,28932,97091
"ANDHRA PRADESH","HYDERABAD CITY",1455,1563,65,712,0,712,1466,690,776,121,8,942,13435,56167,20950,35217,2432,1260,22504,311,433,47343,397,2088,1741,14055,2,5966,28465,202931
"ANDHRA PRADESH",KARIMNAGAR,1674,1199,98,853,0,853,1534,1201,333,91,29,344,3258,7588,1339,6249,2011,541,5639,62,685,31334,594,3833,2324,7304,1,5474,20258,96728
"ANDHRA PRADESH",KHAMMAM,1337,791,47,721,0,721,919,717,202,63,8,195,2717,6006,1482,4524,1667,374,2141,69,439,18111,218,2247,2525,4090,0,4980,19238,68903
"ANDHRA PRADESH",KRISHNA,842,802,19,528,0,528,650,466,184,22,2,126,2392,7002,977,6025,468,271,1898,88,545,27498,169,2865,1698,5016,0,4060,10884,67845
"ANDHRA PRADESH",KURNOOL,1529,1460,42,419,0,419,785,599,186,101,0,215,2494,4921,1045,3876,1340,235,2898,114,380,19228,154,3504,2172,3002,0,5479,23411,73883
"ANDHRA PRADESH",MAHABOOBNAGAR,2171,953,271,864,0,864,870,737,133,90,0,347,3014,9043,220,8823,1265,298,1774,73,650,19861,310,2061,468,2751,0,6896,17908,71938
"ANDHRA PRADESH",MEDAK,1460,664,138,538,0,538,639,490,149,117,0,309,3440,6273,1314,4959,841,238,2324,71,645,21372,383,1295,653,3552,0,6935,10040,61927
"ANDHRA PRADESH",NALGONDA,1446,778,59,698,0,698,872,689,183,90,0,347,2838,5917,1292,4625,1612,353,2747,70,845,19199,402,2738,1542,3675,0,7657,31483,85368
"ANDHRA PRADESH",NELLORE,942,1117,49,488,0,488,887,774,113,122,6,250,2934,8623,2226,6397,875,549,2249,92,647,24134,107,2413,1621,3352,0,4817,15201,71475
"ANDHRA PRADESH",NIZAMABAD,1339,656,158,412,0,412,630,384,246,123,2,329,3496,6027,1297,4730,816,311,2361,68,448,21756,225,1013,718,5084,3,4289,11648,61912
"ANDHRA PRADESH",PRAKASHAM,1089,1023,46,318,0,318,758,593,165,86,0,208,2248,5132,1246,3886,719,420,2280,81,559,17332,110,2197,876,2409,0,4549,17924,60364
"ANDHRA PRADESH","RANGA REDDY",1091,478,79,338,0,338,450,316,134,66,4,213,3266,4260,1053,3207,392,224,1702,16,452,13892,268,741,316,2001,7,2970,7811,41037
"ANDHRA PRADESH","SECUNDERABAD RLY.",104,8,1,7,0,7,9,3,6,8,0,54,6,4819,0,4819,16,4,52,169,2,138,8,20,10,5,0,33,690,6163
"ANDHRA PRADESH",SRIKAKULAM,405,236,39,274,1,273,217,200,17,24,0,66,1437,2580,104,2476,469,220,882,53,295,13049,83,893,600,2607,0,3165,12699,40293
"ANDHRA PRADESH",VIJAYAWADA,213,234,13,134,0,134,374,228,146,18,0,204,3101,12278,1668,10610,62,172,3188,57,119,9360,36,569,757,3571,0,1212,3678,39350
