YEAR,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
2001,72404,63046,6734,32150,0,32150,44974,29290,15684,12308,3228,39802,202364,505606,127426,378180,152444,29596,89454,3366,21068,542974,13702,68248,19492,98340,228,114364,1402724,3538616
2002,70580,60760,7248,32746,6,32740,43700,29012,14688,12202,3682,37528,192922,494924,133336,361588,137890,28054,92542,3044,23640,530050,13644,67886,20310,98474,152,128088,1460594,3560660
2003,65432,51884,8058,31694,2,31692,39984,26592,13392,10606,4604,35024,185654,490474,138614,351860,114668,26864,94956,4110,18730,522888,12416,65878,24650,101406,92,121344,1400824,3432240
2004,67216,55780,7870,36466,4,36462,46654,31156,15498,10622,4680,36916,184980,546090,161364,384726,119942,28352,103878,3058,17274,553736,14052,69134,20002,116242,178,138846,1482052,3664020
2005,65438,56062,7156,36718,14,36704,45664,31500,14164,10282,5668,35346,180216,546222,171418,374804,112470,27144,107250,4766,16902,541722,13574,68350,19968,116638,298,143396,1483954,3645204
2006,64962,54460,7070,38696,4,38692,47982,34828,13154,9494,6258,36912,183332,548708,181902,366806,113282,27272,116152,4338,16960,529496,15236,73234,19932,126256,134,157026,1559394,3756586
2007,64636,54802,7288,41474,2,41472,55122,40832,14290,9158,6410,38272,182436,570086,200510,369576,119830,31062,130652,4408,18048,546134,16186,77468,21900,151860,122,173580,1658412,3979346
2008,65532,57196,7726,42934,0,42934,60522,45878,14644,9060,6434,41044,187484,633522,240064,393458,132036,32974,133158,5982,18498,569938,16344,80826,24428,162688,134,184372,1713926,4186758
2009,64738,58076,7860,42794,4,42790,67720,51482,16238,9172,5700,44818,184140,648390,280054,368336,125884,32652,145436,5870,17472,558428,16766,77422,22018,179092,96,197064,1731082,4242690
2010,66664,58839,7564,44344,12,44332,76879,59590,17289,8715,5230,46781,180356,660238,294927,365311,135140,33353,157966,5178,17016,578044,16779,81225,19922,188082,72,212685,1847941,4449013
2011,68610,62770,7414,48412,2,48410,89328,71130,18198,8570,5790,49400,185008,681600,302400,379200,137000,34914,175312,4614,18128,605694,17236,85936,17140,198270,160,217780,1932064,4651150
2012,68774,70229,7237,49752,2,49750,95011,76407,18604,8623,6198,54636,185251,673902,308257,365645,149200,35738,188262,4700,23643,664289,16453,90586,18321,212823,118,214970,1929848,4768564
