Field,Type,Null,Key,Default,Extra
STATE.UT,int,YES,,NULL,
DISTRICT,int,YES,,NULL,
YEAR,bigint,YES,,NULL,
MURDER,datetime,YES,,NULL,
ATTEMPT.TO.MURDER,binary(1),YES,,NULL,
CULPABLE.HOMICIDE.NOT.AMOUNTING.TO.MURDER,datetime,YES,,NULL,
RAPE,datetime,YES,,NULL,
CUSTODIAL.RAPE,int,YES,,NULL,
OTHER.RAPE,int,YES,,NULL,
KIDNAPPING...ABDUCTION,int,YES,,NULL,
KIDNAPPING.AND.ABDUCTION.OF.WOMEN.AND.GIRLS,datetime,YES,,NULL,
KIDNAPPING.AND.ABDUCTION.OF.OTHERS,datetime,YES,,NULL,
DACOITY,datetime,YES,,NULL,
PREPARATION.AND.ASSEMBLY.FOR.DACOITY,datetime,YES,,NULL,
ROBBERY,datetime,YES,,NULL,
BURGLARY,int,YES,,NULL,
THEFT,int,YES,,NULL,
AUTO.THEFT,int,YES,,NULL,
OTHER.THEFT,int,YES,,NULL,
RIOTS,datetime,YES,,NULL,
CRIMINAL.BREACH.OF.TRUST,int,YES,,NULL,
CHEATING,datetime,YES,,NULL,
COUNTERFIETING,datetime,YES,,NULL,
ARSON,int,YES,,NULL,
HURT.GREVIOUS.HURT,binary(1),YES,,NULL,
DOWRY.DEATHS,int,YES,,NULL,
ASSAULT.ON.WOMEN.WITH.INTENT.TO.OUTRAGE.HER.MODESTY,binary(1),YES,,NULL,
INSULT.TO.MODESTY.OF.WOMEN,datetime,YES,,NULL,
CRUELTY.BY.HUSBAND.OR.HIS.RELATIVES,int,YES,,NULL,
IMPORTATION.OF.GIRLS.FROM.FOREIGN.COUNTRIES,datetime,YES,,NULL,
CAUSING.DEATH.BY.NEGLIGENCE,int,YES,,NULL,
OTHER.IPC.CRIMES,int,YES,,NULL,
TOTAL.IPC.CRIMES,int,YES,,NULL,
